Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹),Days Installed Before Last Purchase
2023-01-27,2022-12-28,0,5,111,21,1,0,1,89,30
2023-01-30,2023-01-13,0,7,46,7,2,0,1,203,17
2023-01-21,2022-12-25,1,9,59,5,12,0,0,635,27
2023-02-11,2023-01-23,1,9,53,4,2,0,0,653,19
2023-01-18,2023-01-15,0,6,6,38,3,0,0,217,3
2023-01-28,2023-01-19,0,4,103,40,4,1,1,902,9
2023-02-06,2023-01-19,1,0,152,7,12,0,0,113,18
2023-01-22,2023-01-15,0,3,18,12,2,0,1,233,7
2023-02-02,2023-01-20,0,0,65,37,3,0,0,138,13
2023-01-27,2023-01-15,1,5,132,9,11,0,0,67,12
2023-02-12,2023-02-10,1,9,79,26,0,0,0,539,2
2023-02-11,2023-02-09,0,2,5,11,2,0,0,461,2
2023-01-22,2023-01-18,0,9,63,28,5,0,0,520,4
2023-01-19,2023-01-08,0,1,161,36,5,0,1,81,11
2023-02-08,2023-01-13,1,5,153,31,15,0,0,60,26
2023-01-28,2023-01-01,0,2,144,24,5,0,0,438,27
2023-02-14,2023-01-28,0,1,30,35,3,0,0,80,17
2023-01-23,2023-01-12,0,3,78,26,1,0,0,205,11
2023-01-15,2023-01-02,1,4,173,18,12,1,0,840,13
2023-01-21,2023-01-18,1,2,36,36,2,0,1,480,3
2023-01-22,2023-01-19,0,1,43,15,4,0,0,82,3
2023-02-13,2023-02-12,0,5,47,11,1,0,1,63,1
2023-02-06,2023-01-23,1,4,11,8,5,1,0,990,14
2023-01-31,2023-01-26,0,0,73,19,3,0,0,135,5
2023-01-30,2023-01-26,2,3,10,12,13,0,1,237,4
2023-01-30,2023-01-21,0,7,180,3,1,0,0,272,9
2023-01-17,2022-12-20,1,4,122,15,2,1,0,891,28
2023-02-09,2023-01-20,0,7,154,35,5,0,0,239,20
2023-02-10,2023-01-15,1,3,20,23,5,0,0,208,26
2023-02-03,2023-02-01,0,1,84,7,1,0,1,80,2
2023-01-30,2023-01-12,0,4,143,38,2,1,0,928,18
2023-01-31,2023-01-21,1,3,19,33,15,0,0,241,10
2023-01-21,2022-12-27,1,2,94,11,8,0,1,491,25
2023-01-17,2023-01-05,0,8,66,12,0,1,1,454,12
2023-02-02,2023-01-06,0,0,132,16,3,0,0,165,27
2023-02-06,2023-01-22,0,4,41,3,0,1,0,816,15
2023-02-10,2023-01-14,0,9,86,16,3,0,0,552,27
2023-01-24,2023-01-07,0,3,56,25,5,0,0,201,17
2023-02-10,2023-01-17,0,9,67,14,3,0,0,575,24
2023-01-21,2023-01-13,0,6,42,23,1,0,1,224,8
2023-01-23,2023-01-14,2,5,107,39,8,0,0,64,9
2023-01-19,2023-01-18,0,3,124,18,1,0,1,212,1
2023-02-11,2023-01-25,1,1,164,10,6,0,0,86,17
2023-02-04,2023-01-20,0,3,49,13,3,0,0,201,15
2023-01-31,2023-01-06,0,8,72,25,2,1,1,565,25
2023-02-12,2023-02-02,1,5,178,13,15,0,0,88,10
2023-01-21,2023-01-11,1,7,126,37,12,0,1,225,10
2023-02-09,2023-02-08,0,5,31,33,5,0,0,88,1
2023-01-28,2023-01-25,0,9,157,25,0,0,0,575,3
2023-01-29,2023-01-20,2,2,144,17,1,0,0,470,9
2023-02-07,2023-01-27,1,4,49,26,1,1,1,934,11
2023-01-26,2023-01-18,0,7,147,38,3,0,0,247,8
2023-01-26,2023-01-03,0,7,72,5,5,0,1,207,23
2023-02-14,2023-01-16,0,3,148,34,1,0,0,227,29
2023-02-11,2023-01-28,0,4,109,27,3,1,0,831,14
2023-01-22,2023-01-09,1,1,44,5,8,0,0,99,13
2023-02-08,2023-01-27,1,3,79,27,2,0,1,246,12
2023-01-31,2023-01-13,0,1,154,13,1,0,0,95,18
2023-01-24,2022-12-26,0,5,169,13,2,0,1,90,29
2023-02-06,2023-01-25,1,7,168,20,9,0,0,227,12
2023-01-28,2022-12-31,0,5,55,14,1,0,1,91,28
2023-02-12,2023-01-18,0,7,69,28,0,0,0,256,25
2023-01-22,2022-12-23,0,8,93,21,4,1,0,559,30
2023-01-16,2023-01-13,0,8,56,37,3,1,1,498,3
2023-02-09,2023-02-07,1,0,5,12,11,0,0,192,2
2023-02-09,2023-02-07,0,2,169,24,2,0,1,477,2
2023-01-16,2023-01-14,0,3,45,17,2,0,0,216,2
2023-02-08,2023-01-18,0,7,175,36,1,0,0,225,21
2023-02-08,2023-01-30,0,1,68,21,4,0,0,95,9
2023-02-10,2023-01-28,2,3,179,33,10,0,0,209,13
2023-01-25,2023-01-21,2,2,159,25,14,0,0,486,4
2023-02-05,2023-01-16,1,7,139,37,4,0,0,299,20
2023-01-15,2022-12-22,0,1,72,7,5,0,0,92,24
2023-01-15,2023-01-11,0,5,143,24,2,0,0,76,4
2023-01-17,2023-01-02,2,7,57,4,5,0,0,210,15
2023-01-17,2023-01-07,0,4,117,16,2,1,0,958,10
2023-01-20,2023-01-14,0,9,29,14,5,0,0,599,6
2023-02-10,2023-02-03,0,8,49,39,1,1,0,504,7
2023-02-03,2023-01-20,0,8,25,28,2,1,1,434,14
2023-01-30,2023-01-14,1,2,92,1,8,0,0,499,16
2023-01-19,2023-01-12,0,4,102,35,5,1,0,852,7
2023-02-06,2023-01-20,2,2,40,39,10,0,0,497,17
2023-02-09,2023-02-03,1,5,148,38,11,0,0,68,6
2023-02-11,2023-02-04,0,4,58,9,1,1,0,887,7
2023-01-24,2022-12-30,0,1,141,16,2,0,0,97,25
2023-01-20,2022-12-21,1,2,67,39,2,0,1,412,30
2023-01-26,2023-01-23,0,6,26,1,5,0,1,222,3
2023-01-20,2023-01-02,0,6,144,9,1,0,0,151,18
2023-01-31,2023-01-18,2,2,14,3,6,0,1,480,13
2023-02-10,2023-01-19,2,8,158,37,2,1,0,465,22
2023-02-02,2023-01-26,0,5,116,28,5,0,1,76,7
2023-02-14,2023-01-25,2,9,173,24,5,0,1,534,20
2023-02-03,2023-01-19,1,1,55,27,10,0,0,96,15
2023-01-18,2023-01-08,0,4,128,7,3,1,1,868,10
2023-01-24,2023-01-15,0,5,100,31,5,0,1,69,9
2023-01-25,2022-12-27,1,4,127,9,12,1,0,982,29
2023-02-09,2023-01-10,0,2,17,28,0,0,0,484,30
2023-01-16,2023-01-11,1,0,74,40,13,0,0,109,5
2023-01-20,2023-01-06,0,3,108,39,0,0,0,239,14
2023-02-10,2023-01-30,0,9,150,30,1,0,0,635,11
2023-01-24,2023-01-09,1,4,70,16,8,1,0,873,15
2023-01-29,2023-01-04,2,4,137,34,1,1,0,927,25
2023-01-30,2023-01-07,0,1,159,14,3,0,1,95,23
2023-02-13,2023-02-11,0,2,32,36,2,0,0,387,2
2023-01-20,2023-01-15,0,8,147,8,4,1,0,479,5
2023-02-09,2023-01-20,0,6,151,26,3,0,0,155,20
2023-02-05,2023-01-15,0,2,106,16,2,0,0,464,21
2023-02-10,2023-01-23,0,0,6,5,0,0,1,116,18
2023-02-12,2023-01-22,0,9,69,17,5,0,0,510,21
2023-02-03,2023-01-06,0,7,101,31,0,0,0,248,28
2023-02-08,2023-01-13,0,9,14,38,2,0,0,551,26
2023-01-18,2022-12-27,0,4,14,38,2,1,1,936,22
2023-01-17,2023-01-15,1,7,31,5,3,0,0,217,2
2023-01-27,2023-01-25,0,8,106,6,4,1,1,416,2
2023-01-27,2023-01-11,0,6,173,11,3,0,0,186,16
2023-01-26,2023-01-11,1,9,156,11,2,0,0,504,15
2023-02-08,2023-01-30,0,3,43,24,4,0,0,228,9
2023-02-12,2023-02-04,0,3,77,15,4,0,0,202,8
2023-02-13,2023-01-27,0,1,176,17,0,0,0,80,17
2023-01-30,2023-01-01,0,8,68,14,4,1,1,588,29
2023-02-14,2023-02-06,0,4,170,27,3,1,0,977,8
2023-02-09,2023-02-02,0,2,37,31,4,0,1,427,7
2023-02-12,2023-02-09,0,2,8,40,3,0,1,357,3
2023-01-31,2023-01-16,0,7,156,14,5,0,1,267,15
2023-01-25,2022-12-26,2,1,55,35,14,0,0,85,30
2023-01-22,2022-12-28,2,3,116,4,12,0,0,223,25
2023-01-18,2023-01-12,0,7,136,9,3,0,0,207,6
2023-01-21,2023-01-12,1,1,81,27,8,0,0,87,9
2023-01-21,2023-01-16,1,8,24,18,8,1,1,503,5
2023-02-10,2023-01-28,1,2,153,7,1,0,1,406,13
2023-01-20,2023-01-10,0,2,13,29,5,0,0,402,10
2023-02-06,2023-01-13,1,4,71,7,2,1,0,876,24
2023-01-31,2023-01-30,0,2,26,8,3,0,1,397,1
2023-01-28,2023-01-07,0,8,17,40,0,1,1,509,21
2023-01-27,2023-01-25,0,6,105,13,4,0,0,154,2
2023-01-30,2023-01-29,0,6,144,6,0,0,0,185,1
2023-01-23,2023-01-10,0,9,60,36,4,0,0,633,13
2023-01-28,2023-01-07,1,9,29,20,15,0,1,523,21
2023-02-07,2023-02-01,0,2,125,24,2,0,0,383,6
2023-01-30,2023-01-09,1,8,143,22,6,1,0,552,21
2023-01-18,2023-01-13,1,4,144,16,10,1,0,814,5
2023-02-09,2023-01-12,1,8,137,3,4,1,0,588,28
2023-01-29,2023-01-20,1,7,146,8,14,0,0,268,9
2023-01-30,2023-01-23,0,6,27,18,2,0,0,172,7
2023-02-06,2023-02-02,0,4,40,39,1,1,0,874,4
2023-02-01,2023-01-15,0,6,9,33,0,0,0,212,17
2023-01-25,2023-01-13,0,5,67,29,4,0,0,94,12
2023-01-19,2023-01-09,2,8,75,6,8,1,0,489,10
2023-01-24,2022-12-31,0,5,140,1,2,0,1,84,24
2023-02-06,2023-01-11,1,9,81,20,5,0,1,628,26
2023-02-05,2023-02-02,2,0,178,28,10,0,0,120,3
2023-02-08,2023-01-22,0,7,61,38,5,0,0,243,17
2023-02-05,2023-02-04,0,9,25,18,4,0,1,544,1
2023-01-26,2023-01-17,1,0,137,12,11,0,0,184,9
2023-02-08,2023-01-19,1,4,110,4,1,1,1,913,20
2023-02-03,2023-01-24,0,7,6,39,0,0,1,279,10
2023-01-23,2022-12-31,1,1,51,37,5,0,0,85,23
2023-01-25,2023-01-02,0,9,45,16,5,0,0,564,23
2023-01-26,2023-01-22,0,5,151,5,1,0,1,60,4
2023-01-21,2023-01-09,2,3,10,33,9,0,1,243,12
2023-02-04,2023-01-31,1,1,152,16,3,0,1,89,4
2023-02-08,2023-01-20,1,9,115,2,10,0,0,678,19
2023-02-10,2023-02-02,0,4,51,28,0,1,0,878,8
2023-02-11,2023-02-08,0,7,23,11,4,0,0,287,3
2023-02-01,2023-01-05,1,9,43,12,15,0,1,606,27
2023-01-31,2023-01-06,0,0,66,31,3,0,0,190,25
2023-01-15,2022-12-21,0,6,37,24,4,0,0,223,25
2023-02-09,2023-01-16,0,8,53,38,5,1,1,587,24
2023-02-01,2023-01-02,1,3,180,24,3,0,0,209,30
2023-01-25,2023-01-19,0,7,166,29,5,0,0,226,6
2023-01-20,2023-01-03,1,0,171,8,14,0,0,124,17
2023-02-01,2023-01-02,1,9,163,29,0,0,1,520,30
2023-01-30,2023-01-28,0,9,155,9,4,0,0,596,2
2023-01-30,2023-01-24,2,3,44,34,5,0,1,238,6
2023-02-08,2023-01-11,0,7,72,35,2,0,0,229,28
2023-01-28,2022-12-30,0,9,152,33,0,0,0,543,29
2023-01-16,2022-12-29,0,7,101,4,5,0,1,253,18
2023-02-03,2023-01-07,0,2,173,38,3,0,1,485,27
2023-01-17,2022-12-22,1,8,32,26,15,1,0,438,26
2023-01-18,2022-12-26,0,3,10,14,3,0,1,218,23
2023-01-23,2022-12-26,1,1,11,9,11,0,0,91,28
2023-02-11,2023-01-31,0,8,93,4,3,1,0,424,11
2023-01-15,2022-12-24,0,4,118,27,4,1,0,888,22
2023-01-22,2022-12-28,1,9,24,39,0,0,0,505,25
2023-01-21,2022-12-31,2,0,140,27,10,0,0,145,21
2023-01-28,2023-01-19,1,2,47,27,11,0,1,362,9
2023-02-10,2023-01-22,2,6,158,6,13,0,0,192,19
2023-01-25,2023-01-19,1,5,175,22,9,0,0,51,6
2023-02-07,2023-01-31,0,2,74,33,1,0,0,450,7
2023-02-03,2023-01-16,1,6,117,3,8,0,1,165,18
2023-01-22,2023-01-14,1,6,179,10,2,0,0,199,8
2023-02-13,2023-02-05,0,3,160,7,3,0,0,211,8
2023-02-02,2023-01-17,1,5,55,30,4,0,0,96,16
2023-02-14,2023-01-25,0,6,143,31,2,0,0,149,20
2023-02-07,2023-01-19,1,6,157,4,14,0,0,195,19
2023-01-15,2022-12-23,0,3,104,28,0,0,0,243,23
2023-02-04,2023-02-02,0,6,75,28,1,0,0,208,2
2023-01-29,2023-01-25,0,5,27,11,0,0,0,78,4
2023-01-30,2023-01-15,2,7,64,19,3,0,0,201,15
2023-02-13,2023-02-05,2,8,18,25,13,1,1,505,8
2023-01-28,2022-12-30,0,0,119,24,1,0,0,172,29
2023-01-19,2023-01-07,1,1,115,34,4,0,0,84,12
2023-01-18,2023-01-05,0,3,116,1,5,0,1,246,13
2023-02-10,2023-02-09,0,9,29,34,2,0,0,589,1
2023-01-29,2023-01-13,2,3,71,22,7,0,1,240,16
2023-02-14,2023-02-13,2,7,85,2,2,0,1,277,1
2023-02-10,2023-01-26,0,9,23,28,3,0,0,589,15
2023-02-13,2023-01-23,1,5,76,1,12,0,1,87,21
2023-01-18,2022-12-23,0,0,54,39,0,0,0,129,26
2023-01-25,2023-01-20,0,8,53,2,3,1,0,466,5
2023-01-24,2022-12-31,1,8,177,40,6,1,0,598,24
2023-01-26,2023-01-09,1,8,25,21,2,1,0,568,17
2023-02-09,2023-01-16,0,8,106,16,2,1,0,553,24
2023-01-29,2023-01-09,0,7,53,7,2,0,0,234,20
2023-01-29,2023-01-02,0,5,78,26,2,0,1,73,27
2023-02-13,2023-01-24,2,6,163,12,6,0,0,234,20
2023-02-02,2023-01-15,2,1,86,17,8,0,0,80,18
2023-01-19,2022-12-22,1,1,143,29,5,0,0,99,28
2023-02-02,2023-01-26,0,9,10,31,4,0,0,680,7
2023-01-28,2023-01-22,0,1,88,1,5,0,0,98,6
2023-01-29,2023-01-18,0,3,88,13,4,0,0,211,11
2023-01-15,2022-12-19,1,9,54,19,14,0,1,690,27
2023-02-10,2023-02-08,0,4,81,24,0,1,1,925,2
2023-01-30,2023-01-28,0,8,66,1,5,1,0,588,2
2023-01-20,2022-12-21,0,9,144,8,2,0,0,600,30
2023-01-18,2022-12-21,0,8,31,4,2,1,0,579,28
2023-01-22,2022-12-26,0,8,166,4,2,1,1,422,27
2023-02-09,2023-02-07,0,2,170,11,5,0,1,375,2
2023-02-11,2023-01-22,0,6,119,22,2,0,1,205,20
2023-02-11,2023-02-04,2,7,5,24,12,0,0,246,7
2023-01-28,2023-01-07,2,6,94,3,14,0,0,193,21
2023-01-27,2023-01-11,0,4,13,36,2,1,1,799,16
2023-02-13,2023-01-15,1,7,40,38,2,0,0,293,29
2023-02-12,2023-01-30,0,1,42,5,2,0,1,92,13
2023-01-24,2023-01-09,0,6,24,39,1,0,0,246,15
2023-02-04,2023-01-10,1,0,160,21,12,0,0,161,25
2023-02-07,2023-01-13,0,2,68,9,0,0,0,389,25
2023-02-02,2023-01-11,0,9,81,39,3,0,1,615,22
2023-01-20,2023-01-10,0,5,43,38,3,0,0,74,10
2023-01-15,2023-01-14,0,3,108,30,3,0,1,248,1
2023-01-28,2023-01-27,0,0,48,10,0,0,0,100,1
2023-01-23,2023-01-12,0,3,48,33,2,0,1,212,11
2023-01-22,2022-12-30,1,5,145,6,3,0,1,92,23
2023-01-25,2023-01-13,0,4,41,20,0,1,1,937,12
2023-01-31,2023-01-25,1,9,171,11,12,0,0,617,6
2023-01-17,2022-12-29,1,4,176,10,6,1,0,936,19
2023-02-02,2023-01-23,0,1,62,20,1,0,1,84,10
2023-01-23,2023-01-03,0,6,42,31,1,0,0,179,20
2023-01-23,2023-01-11,0,8,105,24,2,1,0,499,12
2023-02-05,2023-01-25,2,0,119,1,9,0,1,178,11
2023-01-19,2023-01-05,1,9,34,39,9,0,0,623,14
2023-01-26,2023-01-15,0,8,77,36,4,1,1,425,11
2023-01-16,2023-01-07,1,9,141,16,5,0,0,585,9
2023-01-18,2023-01-01,0,0,89,12,4,0,0,142,17
2023-02-07,2023-01-29,1,5,39,39,12,0,0,49,9
2023-01-29,2023-01-21,0,4,80,6,2,1,0,948,8
2023-01-27,2023-01-15,0,3,14,19,1,0,0,238,12
2023-01-26,2022-12-29,0,1,81,5,3,0,0,84,28
2023-01-23,2023-01-19,0,6,52,27,4,0,0,191,4
2023-01-16,2022-12-24,1,8,118,14,15,1,1,432,23
2023-01-22,2022-12-29,0,3,162,21,1,0,0,214,24
2023-01-18,2022-12-21,0,8,27,21,0,1,0,564,28
2023-02-12,2023-01-17,0,7,27,33,0,0,0,209,26
2023-01-28,2023-01-07,0,7,156,32,5,0,1,237,21
2023-01-19,2022-12-24,0,8,138,1,5,1,0,589,26
2023-01-22,2023-01-08,0,6,48,5,4,0,0,193,14
2023-02-04,2023-01-29,1,6,25,27,8,0,0,200,6
2023-02-13,2023-01-29,0,2,113,18,5,0,1,364,15
2023-01-16,2023-01-01,0,1,83,19,5,0,1,85,15
2023-02-03,2023-01-30,0,4,117,39,4,1,0,974,4
2023-01-26,2023-01-22,0,7,112,8,1,0,0,260,4
2023-02-13,2023-02-12,2,9,9,14,1,0,0,694,1
2023-02-07,2023-02-02,0,9,111,5,4,0,0,525,5
2023-01-28,2023-01-07,0,6,26,40,4,0,1,162,21
2023-02-02,2023-01-06,0,0,145,13,2,0,0,119,27
2023-02-10,2023-01-16,0,1,95,13,3,0,0,99,25
2023-01-24,2023-01-04,0,8,5,9,4,1,0,518,20
2023-01-28,2023-01-06,0,8,30,5,5,1,1,559,22
2023-01-21,2023-01-10,1,3,125,22,4,0,1,208,11
2023-01-17,2022-12-27,0,3,67,26,3,0,0,227,21
2023-02-07,2023-01-16,0,1,102,35,0,0,0,86,22
2023-02-09,2023-02-03,0,6,54,16,5,0,0,244,6
2023-01-28,2023-01-13,0,2,16,25,5,0,0,430,15
2023-01-24,2023-01-06,0,2,150,6,1,0,0,363,18
2023-02-11,2023-01-18,2,2,178,26,8,0,0,472,24
2023-01-27,2023-01-06,2,0,133,33,8,0,0,178,21
2023-02-06,2023-01-21,0,1,49,32,1,0,0,88,16
2023-01-16,2022-12-21,1,1,149,33,14,0,1,97,26
2023-01-31,2023-01-30,0,5,19,12,4,0,0,94,1
2023-01-19,2023-01-06,1,0,167,15,13,0,0,127,13
2023-02-12,2023-01-26,0,8,73,16,2,1,0,557,17
2023-01-15,2022-12-16,2,7,68,4,6,0,0,257,30
2023-01-17,2022-12-31,2,7,34,16,4,0,0,216,17
2023-01-21,2023-01-17,0,8,89,13,3,1,0,472,4
2023-01-18,2022-12-21,0,0,72,19,3,0,0,192,28
2023-01-16,2022-12-21,0,4,64,13,4,1,1,968,26
2023-02-03,2023-01-10,1,9,89,31,2,0,0,503,24
2023-02-01,2023-01-05,1,3,165,14,8,0,0,249,27
2023-02-11,2023-01-18,0,4,143,5,1,1,0,970,24
2023-01-23,2023-01-19,1,9,68,1,14,0,1,631,4
2023-01-31,2023-01-11,0,8,119,8,2,1,0,559,20
2023-01-20,2023-01-14,2,7,111,25,8,0,1,286,6
2023-02-09,2023-01-20,0,2,180,11,5,0,0,464,20
2023-01-30,2023-01-12,0,3,37,12,5,0,0,215,18
2023-01-28,2023-01-03,0,0,112,40,0,0,0,149,25
2023-02-04,2023-01-05,1,6,34,24,12,0,0,195,30
2023-01-26,2023-01-21,0,0,174,11,1,0,0,116,5
2023-02-08,2023-02-01,0,8,161,20,3,1,1,433,7
2023-02-13,2023-01-27,0,3,85,29,5,0,1,202,17
2023-02-10,2023-02-04,0,7,22,31,0,0,0,251,6
2023-01-16,2023-01-11,0,2,7,20,3,0,0,407,5
2023-01-15,2022-12-31,1,1,77,6,10,0,1,79,15
2023-01-23,2023-01-05,0,7,79,18,1,0,0,239,18
2023-01-24,2022-12-27,1,7,111,24,12,0,0,237,28
2023-01-17,2023-01-05,0,4,122,10,1,1,1,989,12
2023-01-16,2022-12-18,1,5,138,7,12,0,0,51,29
2023-01-23,2023-01-16,1,0,46,25,9,0,0,167,7
2023-01-26,2022-12-30,1,7,65,27,5,0,0,219,27
2023-02-03,2023-02-02,1,9,11,23,0,0,0,657,1
2023-01-25,2023-01-11,0,7,96,10,2,0,0,216,14
2023-02-11,2023-02-08,0,7,156,1,3,0,0,217,3
2023-02-13,2023-01-17,0,0,83,35,1,0,0,187,27
2023-01-21,2023-01-20,0,3,153,28,3,0,0,230,1
2023-02-14,2023-02-01,1,7,96,18,15,0,1,284,13
2023-01-22,2023-01-11,0,8,69,27,0,1,0,430,11
2023-01-17,2023-01-07,1,0,160,37,12,0,0,100,10
2023-01-31,2023-01-25,0,6,37,8,5,0,0,159,6
2023-01-21,2022-12-28,1,2,129,8,3,0,0,441,24
2023-01-24,2023-01-03,1,5,22,7,7,0,0,88,21
2023-01-21,2023-01-11,1,3,71,38,2,0,0,221,10
2023-01-19,2023-01-04,0,4,168,29,1,1,0,939,15
2023-02-14,2023-01-16,0,3,161,27,2,0,1,201,29
2023-01-20,2022-12-27,0,3,68,21,4,0,1,229,24
2023-01-24,2023-01-03,0,3,115,20,3,0,0,203,21
2023-02-11,2023-01-21,1,4,167,30,12,1,0,983,21
2023-02-04,2023-01-06,0,4,114,12,1,1,1,967,29
2023-01-18,2023-01-06,0,0,42,11,0,0,0,110,12
2023-01-25,2023-01-18,0,5,42,2,0,0,0,85,7
2023-01-19,2022-12-29,0,5,91,29,3,0,0,61,21
2023-01-15,2022-12-23,1,2,148,6,8,0,1,451,23
2023-01-25,2022-12-28,0,5,13,32,2,0,0,98,28
2023-01-27,2023-01-02,0,0,153,29,1,0,0,112,25
2023-02-08,2023-01-12,0,6,6,15,3,0,0,242,27
2023-01-16,2023-01-06,0,1,112,13,5,0,0,90,10
2023-01-28,2023-01-25,0,4,29,36,3,1,0,985,3
2023-01-21,2023-01-01,1,0,18,29,8,0,0,103,20
2023-02-06,2023-01-13,1,0,57,30,14,0,0,147,24
2023-02-01,2023-01-16,1,5,112,8,10,0,1,97,16
2023-01-20,2023-01-17,0,5,37,35,1,0,0,94,3
2023-01-28,2023-01-21,0,9,122,23,3,0,1,624,7
2023-01-19,2023-01-01,0,7,61,10,5,0,0,242,18
2023-02-03,2023-01-30,0,1,112,13,5,0,0,91,4
2023-01-31,2023-01-23,1,8,127,5,6,1,0,549,8
2023-01-25,2023-01-17,0,6,76,29,5,0,0,150,8
2023-01-15,2023-01-02,2,5,89,10,14,0,1,78,13
2023-01-17,2022-12-30,0,6,121,1,2,0,0,153,18
2023-02-12,2023-01-26,0,3,110,23,5,0,0,207,17
2023-01-17,2022-12-31,0,3,69,6,4,0,1,215,17
2023-02-13,2023-01-25,1,5,138,12,0,0,0,72,19
2023-02-11,2023-01-29,0,7,164,31,5,0,1,214,13
2023-01-25,2022-12-26,0,5,104,16,1,0,0,84,30
2023-01-28,2023-01-24,0,8,149,11,1,1,0,590,4
