Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹)
18/01/2023,20/12/2022,Casual,Premium Weapon,02h 29m,14,1,One-time,No,220
23/01/2023,28/12/2022,Whales,Coin Pack - 10000,02h 48m,7,1,One-time,Yes,355
03/02/2023,05/01/2023,Hardcore,Character Skin,00h 44m,33,15,One-time,No,176
01/02/2023,30/01/2023,Hardcore,Limited-Time Offer Pack,01h 36m,29,6,One-time,No,66
04/02/2023,18/01/2023,Casual,Character Skin,00h 39m,40,3,One-time,No,116
08/02/2023,15/01/2023,Casual,Limited-Time Offer Pack,02h 57m,28,4,One-time,No,70
19/01/2023,27/12/2022,Casual,Lifetime Membership,01h 23m,11,1,Subscription,No,873
30/01/2023,02/01/2023,Hardcore,Power-Up Bundle,00h 41m,15,7,One-time,No,163
03/02/2023,10/01/2023,Casual,Coin Pack - 5000,02h 25m,3,3,One-time,No,201
15/01/2023,20/12/2022,Casual,Coin Pack - 5000,01h 23m,21,0,One-time,No,239
01/02/2023,22/01/2023,Hardcore,Season Pass,00h 54m,27,14,Subscription,No,495
19/01/2023,23/12/2022,Hardcore,Coin Pack - 5000,02h 07m,10,11,One-time,No,220
06/02/2023,29/01/2023,Casual,Coin Pack - 1000,00h 26m,19,1,One-time,Yes,96
26/01/2023,27/12/2022,Casual,Ultra Bundle,01h 28m,34,4,One-time,No,591
22/01/2023,28/12/2022,Hardcore,Character Skin,01h 57m,12,4,One-time,Yes,132
19/01/2023,16/01/2023,Hardcore,Lifetime Membership,02h 32m,18,11,Subscription,No,870
12/02/2023,01/02/2023,Casual,Lifetime Membership,01h 45m,6,1,Subscription,No,968
15/01/2023,02/01/2023,Hardcore,Coin Pack - 5000,02h 15m,14,13,One-time,No,207
09/02/2023,10/01/2023,Casual,Season Pass,00h 43m,23,3,Subscription,No,451
10/02/2023,02/02/2023,Casual,Coin Pack - 1000,00h 53m,31,2,One-time,Yes,87
02/02/2023,08/01/2023,Casual,Coin Pack - 1000,00h 13m,32,2,One-time,No,95
27/01/2023,07/01/2023,Casual,Premium Weapon,02h 35m,29,3,One-time,No,226
28/01/2023,07/01/2023,Casual,Coin Pack - 5000,02h 55m,21,3,One-time,No,224
22/01/2023,14/01/2023,Casual,Power-Up Bundle,01h 01m,6,4,One-time,No,248
29/01/2023,12/01/2023,Hardcore,Season Pass,00h 45m,8,11,Subscription,No,549
12/02/2023,30/01/2023,Whales,Coin Pack - 10000,00h 15m,36,7,One-time,No,469
27/01/2023,24/01/2023,Hardcore,Character Skin,02h 43m,24,10,One-time,No,113
15/01/2023,13/01/2023,Whales,Coin Pack - 5000,01h 40m,28,5,One-time,Yes,238
09/02/2023,13/01/2023,Casual,Season Pass,01h 20m,36,3,Subscription,Yes,593
24/01/2023,25/12/2022,Hardcore,Lifetime Membership,01h 08m,11,0,Subscription,No,814
08/02/2023,30/01/2023,Casual,Season Pass,01h 13m,28,3,Subscription,No,572
26/01/2023,10/01/2023,Hardcore,Coin Pack - 1000,02h 13m,9,11,One-time,No,98
27/01/2023,08/01/2023,Casual,Limited-Time Offer Pack,00h 50m,6,4,One-time,No,75
04/02/2023,18/01/2023,Hardcore,Character Skin,01h 02m,33,3,One-time,No,134
16/01/2023,13/01/2023,Hardcore,Coin Pack - 10000,02h 37m,27,5,One-time,No,412
02/02/2023,19/01/2023,Casual,Character Skin,02h 15m,21,1,One-time,No,122
09/02/2023,13/01/2023,Casual,Lifetime Membership,02h 04m,36,4,Subscription,No,818
17/01/2023,25/12/2022,Casual,Coin Pack - 5000,02h 40m,12,5,One-time,Yes,206
04/02/2023,20/01/2023,Casual,Coin Pack - 5000,00h 46m,36,4,One-time,Yes,207
21/01/2023,31/12/2022,Casual,Character Skin,00h 11m,40,5,One-time,Yes,111
25/01/2023,08/01/2023,Casual,Coin Pack - 1000,01h 23m,7,3,One-time,No,96
20/01/2023,14/01/2023,Casual,Coin Pack - 10000,02h 19m,21,0,One-time,Yes,424
04/02/2023,27/01/2023,Hardcore,Limited-Time Offer Pack,02h 36m,35,6,One-time,No,49
04/02/2023,14/01/2023,Casual,Lifetime Membership,01h 12m,12,5,Subscription,No,936
29/01/2023,10/01/2023,Casual,Premium Weapon,01h 35m,10,2,One-time,Yes,223
26/01/2023,22/01/2023,Casual,Premium Weapon,01h 24m,14,4,One-time,No,219
11/02/2023,20/01/2023,Hardcore,Lifetime Membership,02h 25m,27,7,Subscription,Yes,954
27/01/2023,28/12/2022,Casual,Limited-Time Offer Pack,01h 51m,21,1,One-time,Yes,89
30/01/2023,13/01/2023,Casual,Premium Weapon,00h 46m,7,2,One-time,Yes,203
21/01/2023,25/12/2022,Hardcore,Ultra Bundle,00h 59m,5,12,One-time,No,635
11/02/2023,23/01/2023,Hardcore,Ultra Bundle,00h 53m,4,2,One-time,No,653
18/01/2023,15/01/2023,Casual,Power-Up Bundle,00h 06m,38,3,One-time,No,217
28/01/2023,19/01/2023,Casual,Lifetime Membership,01h 43m,40,4,Subscription,Yes,902
06/02/2023,19/01/2023,Hardcore,Character Skin,02h 32m,7,12,One-time,No,113
22/01/2023,15/01/2023,Casual,Coin Pack - 5000,00h 18m,12,2,One-time,Yes,233
02/02/2023,20/01/2023,Casual,Character Skin,01h 05m,37,3,One-time,No,138
27/01/2023,15/01/2023,Hardcore,Limited-Time Offer Pack,02h 12m,9,11,One-time,No,67
12/02/2023,10/02/2023,Hardcore,Ultra Bundle,01h 19m,26,0,One-time,No,539
11/02/2023,09/02/2023,Casual,Coin Pack - 10000,00h 05m,11,2,One-time,No,461
22/01/2023,18/01/2023,Casual,Ultra Bundle,01h 03m,28,5,One-time,No,520
19/01/2023,08/01/2023,Casual,Coin Pack - 1000,02h 41m,36,5,One-time,Yes,81
08/02/2023,13/01/2023,Hardcore,Limited-Time Offer Pack,02h 33m,31,15,One-time,No,60
28/01/2023,01/01/2023,Casual,Coin Pack - 10000,02h 24m,24,5,One-time,No,438
14/02/2023,28/01/2023,Casual,Coin Pack - 1000,00h 30m,35,3,One-time,No,80
23/01/2023,12/01/2023,Casual,Coin Pack - 5000,01h 18m,26,1,One-time,No,205
15/01/2023,02/01/2023,Hardcore,Lifetime Membership,02h 53m,18,12,Subscription,No,840
21/01/2023,18/01/2023,Hardcore,Coin Pack - 10000,00h 36m,36,2,One-time,Yes,480
22/01/2023,19/01/2023,Casual,Coin Pack - 1000,00h 43m,15,4,One-time,No,82
13/02/2023,12/02/2023,Casual,Limited-Time Offer Pack,00h 47m,11,1,One-time,Yes,63
06/02/2023,23/01/2023,Hardcore,Lifetime Membership,00h 11m,8,5,Subscription,No,990
31/01/2023,26/01/2023,Casual,Character Skin,01h 13m,19,3,One-time,No,135
30/01/2023,26/01/2023,Whales,Coin Pack - 5000,00h 10m,12,13,One-time,Yes,237
30/01/2023,21/01/2023,Casual,Premium Weapon,03h 00m,3,1,One-time,No,272
17/01/2023,20/12/2022,Hardcore,Lifetime Membership,02h 02m,15,2,Subscription,No,891
09/02/2023,20/01/2023,Casual,Premium Weapon,02h 34m,35,5,One-time,No,239
10/02/2023,15/01/2023,Hardcore,Coin Pack - 5000,00h 20m,23,5,One-time,No,208
03/02/2023,01/02/2023,Casual,Coin Pack - 1000,01h 24m,7,1,One-time,Yes,80
30/01/2023,12/01/2023,Casual,Lifetime Membership,02h 23m,38,2,Subscription,No,928
31/01/2023,21/01/2023,Hardcore,Coin Pack - 5000,00h 19m,33,15,One-time,No,241
21/01/2023,27/12/2022,Hardcore,Coin Pack - 10000,01h 34m,11,8,One-time,Yes,491
17/01/2023,05/01/2023,Casual,Season Pass,01h 06m,12,0,Subscription,Yes,454
02/02/2023,06/01/2023,Casual,Character Skin,02h 12m,16,3,One-time,No,165
06/02/2023,22/01/2023,Casual,Lifetime Membership,00h 41m,3,0,Subscription,No,816
10/02/2023,14/01/2023,Casual,Ultra Bundle,01h 26m,16,3,One-time,No,552
24/01/2023,07/01/2023,Casual,Coin Pack - 5000,00h 56m,25,5,One-time,No,201
10/02/2023,17/01/2023,Casual,Ultra Bundle,01h 07m,14,3,One-time,No,575
21/01/2023,13/01/2023,Casual,Power-Up Bundle,00h 42m,23,1,One-time,Yes,224
23/01/2023,14/01/2023,Whales,Limited-Time Offer Pack,01h 47m,39,8,One-time,No,64
19/01/2023,18/01/2023,Casual,Coin Pack - 5000,02h 04m,18,1,One-time,Yes,212
11/02/2023,25/01/2023,Hardcore,Coin Pack - 1000,02h 44m,10,6,One-time,No,86
04/02/2023,20/01/2023,Casual,Coin Pack - 5000,00h 49m,13,3,One-time,No,201
31/01/2023,06/01/2023,Casual,Season Pass,01h 12m,25,2,Subscription,Yes,565
12/02/2023,02/02/2023,Hardcore,Limited-Time Offer Pack,02h 58m,13,15,One-time,No,88
21/01/2023,11/01/2023,Hardcore,Premium Weapon,02h 06m,37,12,One-time,Yes,225
09/02/2023,08/02/2023,Casual,Limited-Time Offer Pack,00h 31m,33,5,One-time,No,88
28/01/2023,25/01/2023,Casual,Ultra Bundle,02h 37m,25,0,One-time,No,575
29/01/2023,20/01/2023,Whales,Coin Pack - 10000,02h 24m,17,1,One-time,No,470
07/02/2023,27/01/2023,Hardcore,Lifetime Membership,00h 49m,26,1,Subscription,Yes,934
26/01/2023,18/01/2023,Casual,Premium Weapon,02h 27m,38,3,One-time,No,247
26/01/2023,03/01/2023,Casual,Premium Weapon,01h 12m,5,5,One-time,Yes,207
14/02/2023,16/01/2023,Casual,Coin Pack - 5000,02h 28m,34,1,One-time,No,227
11/02/2023,28/01/2023,Casual,Lifetime Membership,01h 49m,27,3,Subscription,No,831
22/01/2023,09/01/2023,Hardcore,Coin Pack - 1000,00h 44m,5,8,One-time,No,99
08/02/2023,27/01/2023,Hardcore,Coin Pack - 5000,01h 19m,27,2,One-time,Yes,246
31/01/2023,13/01/2023,Casual,Coin Pack - 1000,02h 34m,13,1,One-time,No,95
24/01/2023,26/12/2022,Casual,Limited-Time Offer Pack,02h 49m,13,2,One-time,Yes,90
06/02/2023,25/01/2023,Hardcore,Premium Weapon,02h 48m,20,9,One-time,No,227
28/01/2023,31/12/2022,Casual,Limited-Time Offer Pack,00h 55m,14,1,One-time,Yes,91
12/02/2023,18/01/2023,Casual,Premium Weapon,01h 09m,28,0,One-time,No,256
22/01/2023,23/12/2022,Casual,Season Pass,01h 33m,21,4,Subscription,No,559
16/01/2023,13/01/2023,Casual,Season Pass,00h 56m,37,3,Subscription,Yes,498
09/02/2023,07/02/2023,Hardcore,Character Skin,00h 05m,12,11,One-time,No,192
09/02/2023,07/02/2023,Casual,Coin Pack - 10000,02h 49m,24,2,One-time,Yes,477
16/01/2023,14/01/2023,Casual,Coin Pack - 5000,00h 45m,17,2,One-time,No,216
08/02/2023,18/01/2023,Casual,Premium Weapon,02h 55m,36,1,One-time,No,225
08/02/2023,30/01/2023,Casual,Coin Pack - 1000,01h 08m,21,4,One-time,No,95
10/02/2023,28/01/2023,Whales,Coin Pack - 5000,02h 59m,33,10,One-time,No,209
25/01/2023,21/01/2023,Whales,Coin Pack - 10000,02h 39m,25,14,One-time,No,486
05/02/2023,16/01/2023,Hardcore,Premium Weapon,02h 19m,37,4,One-time,No,299
15/01/2023,22/12/2022,Casual,Coin Pack - 1000,01h 12m,7,5,One-time,No,92
15/01/2023,11/01/2023,Casual,Limited-Time Offer Pack,02h 23m,24,2,One-time,No,76
17/01/2023,02/01/2023,Whales,Premium Weapon,00h 57m,4,5,One-time,No,210
17/01/2023,07/01/2023,Casual,Lifetime Membership,01h 57m,16,2,Subscription,No,958
20/01/2023,14/01/2023,Casual,Ultra Bundle,00h 29m,14,5,One-time,No,599
10/02/2023,03/02/2023,Casual,Season Pass,00h 49m,39,1,Subscription,No,504
03/02/2023,20/01/2023,Casual,Season Pass,00h 25m,28,2,Subscription,Yes,434
30/01/2023,14/01/2023,Hardcore,Coin Pack - 10000,01h 32m,1,8,One-time,No,499
19/01/2023,12/01/2023,Casual,Lifetime Membership,01h 42m,35,5,Subscription,No,852
06/02/2023,20/01/2023,Whales,Coin Pack - 10000,00h 40m,39,10,One-time,No,497
09/02/2023,03/02/2023,Hardcore,Limited-Time Offer Pack,02h 28m,38,11,One-time,No,68
11/02/2023,04/02/2023,Casual,Lifetime Membership,00h 58m,9,1,Subscription,No,887
24/01/2023,30/12/2022,Casual,Coin Pack - 1000,02h 21m,16,2,One-time,No,97
20/01/2023,21/12/2022,Hardcore,Coin Pack - 10000,01h 07m,39,2,One-time,Yes,412
26/01/2023,23/01/2023,Casual,Power-Up Bundle,00h 26m,1,5,One-time,Yes,222
20/01/2023,02/01/2023,Casual,Power-Up Bundle,02h 24m,9,1,One-time,No,151
31/01/2023,18/01/2023,Whales,Coin Pack - 10000,00h 14m,3,6,One-time,Yes,480
10/02/2023,19/01/2023,Whales,Season Pass,02h 38m,37,2,Subscription,No,465
02/02/2023,26/01/2023,Casual,Limited-Time Offer Pack,01h 56m,28,5,One-time,Yes,76
14/02/2023,25/01/2023,Whales,Ultra Bundle,02h 53m,24,5,One-time,Yes,534
03/02/2023,19/01/2023,Hardcore,Coin Pack - 1000,00h 55m,27,10,One-time,No,96
18/01/2023,08/01/2023,Casual,Lifetime Membership,02h 08m,7,3,Subscription,Yes,868
24/01/2023,15/01/2023,Casual,Limited-Time Offer Pack,01h 40m,31,5,One-time,Yes,69
25/01/2023,27/12/2022,Hardcore,Lifetime Membership,02h 07m,9,12,Subscription,No,982
09/02/2023,10/01/2023,Casual,Coin Pack - 10000,00h 17m,28,0,One-time,No,484
16/01/2023,11/01/2023,Hardcore,Character Skin,01h 14m,40,13,One-time,No,109
20/01/2023,06/01/2023,Casual,Coin Pack - 5000,01h 48m,39,0,One-time,No,239
10/02/2023,30/01/2023,Casual,Ultra Bundle,02h 30m,30,1,One-time,No,635
24/01/2023,09/01/2023,Hardcore,Lifetime Membership,01h 10m,16,8,Subscription,No,873
29/01/2023,04/01/2023,Whales,Lifetime Membership,02h 17m,34,1,Subscription,No,927
30/01/2023,07/01/2023,Casual,Coin Pack - 1000,02h 39m,14,3,One-time,Yes,95
13/02/2023,11/02/2023,Casual,Coin Pack - 10000,00h 32m,36,2,One-time,No,387
20/01/2023,15/01/2023,Casual,Season Pass,02h 27m,8,4,Subscription,No,479
09/02/2023,20/01/2023,Casual,Power-Up Bundle,02h 31m,26,3,One-time,No,155
05/02/2023,15/01/2023,Casual,Coin Pack - 10000,01h 46m,16,2,One-time,No,464
10/02/2023,23/01/2023,Casual,Character Skin,00h 06m,5,0,One-time,Yes,116
12/02/2023,22/01/2023,Casual,Ultra Bundle,01h 09m,17,5,One-time,No,510
03/02/2023,06/01/2023,Casual,Premium Weapon,01h 41m,31,0,One-time,No,248
08/02/2023,13/01/2023,Casual,Ultra Bundle,00h 14m,38,2,One-time,No,551
18/01/2023,27/12/2022,Casual,Lifetime Membership,00h 14m,38,2,Subscription,Yes,936
17/01/2023,15/01/2023,Hardcore,Premium Weapon,00h 31m,5,3,One-time,No,217
27/01/2023,25/01/2023,Casual,Season Pass,01h 46m,6,4,Subscription,Yes,416
27/01/2023,11/01/2023,Casual,Power-Up Bundle,02h 53m,11,3,One-time,No,186
26/01/2023,11/01/2023,Hardcore,Ultra Bundle,02h 36m,11,2,One-time,No,504
08/02/2023,30/01/2023,Casual,Coin Pack - 5000,00h 43m,24,4,One-time,No,228
12/02/2023,04/02/2023,Casual,Coin Pack - 5000,01h 17m,15,4,One-time,No,202
13/02/2023,27/01/2023,Casual,Coin Pack - 1000,02h 56m,17,0,One-time,No,80
30/01/2023,01/01/2023,Casual,Season Pass,01h 08m,14,4,Subscription,Yes,588
14/02/2023,06/02/2023,Casual,Lifetime Membership,02h 50m,27,3,Subscription,No,977
09/02/2023,02/02/2023,Casual,Coin Pack - 10000,00h 37m,31,4,One-time,Yes,427
12/02/2023,09/02/2023,Casual,Coin Pack - 10000,00h 08m,40,3,One-time,Yes,357
31/01/2023,16/01/2023,Casual,Premium Weapon,02h 36m,14,5,One-time,Yes,267
25/01/2023,26/12/2022,Whales,Coin Pack - 1000,00h 55m,35,14,One-time,No,85
22/01/2023,28/12/2022,Whales,Coin Pack - 5000,01h 56m,4,12,One-time,No,223
18/01/2023,12/01/2023,Casual,Premium Weapon,02h 16m,9,3,One-time,No,207
21/01/2023,12/01/2023,Hardcore,Coin Pack - 1000,01h 21m,27,8,One-time,No,87
21/01/2023,16/01/2023,Hardcore,Season Pass,00h 24m,18,8,Subscription,Yes,503
10/02/2023,28/01/2023,Hardcore,Coin Pack - 10000,02h 33m,7,1,One-time,Yes,406
20/01/2023,10/01/2023,Casual,Coin Pack - 10000,00h 13m,29,5,One-time,No,402
06/02/2023,13/01/2023,Hardcore,Lifetime Membership,01h 11m,7,2,Subscription,No,876
31/01/2023,30/01/2023,Casual,Coin Pack - 10000,00h 26m,8,3,One-time,Yes,397
28/01/2023,07/01/2023,Casual,Season Pass,00h 17m,40,0,Subscription,Yes,509
27/01/2023,25/01/2023,Casual,Power-Up Bundle,01h 45m,13,4,One-time,No,154
30/01/2023,29/01/2023,Casual,Power-Up Bundle,02h 24m,6,0,One-time,No,185
23/01/2023,10/01/2023,Casual,Ultra Bundle,01h 00m,36,4,One-time,No,633
28/01/2023,07/01/2023,Hardcore,Ultra Bundle,00h 29m,20,15,One-time,Yes,523
07/02/2023,01/02/2023,Casual,Coin Pack - 10000,02h 05m,24,2,One-time,No,383
30/01/2023,09/01/2023,Hardcore,Season Pass,02h 23m,22,6,Subscription,No,552
18/01/2023,13/01/2023,Hardcore,Lifetime Membership,02h 24m,16,10,Subscription,No,814
09/02/2023,12/01/2023,Hardcore,Season Pass,02h 17m,3,4,Subscription,No,588
29/01/2023,20/01/2023,Hardcore,Premium Weapon,02h 26m,8,14,One-time,No,268
30/01/2023,23/01/2023,Casual,Power-Up Bundle,00h 27m,18,2,One-time,No,172
06/02/2023,02/02/2023,Casual,Lifetime Membership,00h 40m,39,1,Subscription,No,874
01/02/2023,15/01/2023,Casual,Power-Up Bundle,00h 09m,33,0,One-time,No,212
25/01/2023,13/01/2023,Casual,Limited-Time Offer Pack,01h 07m,29,4,One-time,No,94
19/01/2023,09/01/2023,Whales,Season Pass,01h 15m,6,8,Subscription,No,489
24/01/2023,31/12/2022,Casual,Limited-Time Offer Pack,02h 20m,1,2,One-time,Yes,84
06/02/2023,11/01/2023,Hardcore,Ultra Bundle,01h 21m,20,5,One-time,Yes,628
05/02/2023,02/02/2023,Whales,Character Skin,02h 58m,28,10,One-time,No,120
08/02/2023,22/01/2023,Casual,Premium Weapon,01h 01m,38,5,One-time,No,243
05/02/2023,04/02/2023,Casual,Ultra Bundle,00h 25m,18,4,One-time,Yes,544
26/01/2023,17/01/2023,Hardcore,Character Skin,02h 17m,12,11,One-time,No,184
08/02/2023,19/01/2023,Hardcore,Lifetime Membership,01h 50m,4,1,Subscription,Yes,913
03/02/2023,24/01/2023,Casual,Premium Weapon,00h 06m,39,0,One-time,Yes,279
23/01/2023,31/12/2022,Hardcore,Coin Pack - 1000,00h 51m,37,5,One-time,No,85
25/01/2023,02/01/2023,Casual,Ultra Bundle,00h 45m,16,5,One-time,No,564
26/01/2023,22/01/2023,Casual,Limited-Time Offer Pack,02h 31m,5,1,One-time,Yes,60
21/01/2023,09/01/2023,Whales,Coin Pack - 5000,00h 10m,33,9,One-time,Yes,243
04/02/2023,31/01/2023,Hardcore,Coin Pack - 1000,02h 32m,16,3,One-time,Yes,89
08/02/2023,20/01/2023,Hardcore,Ultra Bundle,01h 55m,2,10,One-time,No,678
10/02/2023,02/02/2023,Casual,Lifetime Membership,00h 51m,28,0,Subscription,No,878
11/02/2023,08/02/2023,Casual,Premium Weapon,00h 23m,11,4,One-time,No,287
01/02/2023,05/01/2023,Hardcore,Ultra Bundle,00h 43m,12,15,One-time,Yes,606
31/01/2023,06/01/2023,Casual,Character Skin,01h 06m,31,3,One-time,No,190
15/01/2023,21/12/2022,Casual,Power-Up Bundle,00h 37m,24,4,One-time,No,223
09/02/2023,16/01/2023,Casual,Season Pass,00h 53m,38,5,Subscription,Yes,587
01/02/2023,02/01/2023,Hardcore,Coin Pack - 5000,03h 00m,24,3,One-time,No,209
25/01/2023,19/01/2023,Casual,Premium Weapon,02h 46m,29,5,One-time,No,226
20/01/2023,03/01/2023,Hardcore,Character Skin,02h 51m,8,14,One-time,No,124
01/02/2023,02/01/2023,Hardcore,Ultra Bundle,02h 43m,29,0,One-time,Yes,520
30/01/2023,28/01/2023,Casual,Ultra Bundle,02h 35m,9,4,One-time,No,596
30/01/2023,24/01/2023,Whales,Coin Pack - 5000,00h 44m,34,5,One-time,Yes,238
08/02/2023,11/01/2023,Casual,Premium Weapon,01h 12m,35,2,One-time,No,229
28/01/2023,30/12/2022,Casual,Ultra Bundle,02h 32m,33,0,One-time,No,543
16/01/2023,29/12/2022,Casual,Premium Weapon,01h 41m,4,5,One-time,Yes,253
03/02/2023,07/01/2023,Casual,Coin Pack - 10000,02h 53m,38,3,One-time,Yes,485
17/01/2023,22/12/2022,Hardcore,Season Pass,00h 32m,26,15,Subscription,No,438
18/01/2023,26/12/2022,Casual,Coin Pack - 5000,00h 10m,14,3,One-time,Yes,218
23/01/2023,26/12/2022,Hardcore,Coin Pack - 1000,00h 11m,9,11,One-time,No,91
11/02/2023,31/01/2023,Casual,Season Pass,01h 33m,4,3,Subscription,No,424
15/01/2023,24/12/2022,Casual,Lifetime Membership,01h 58m,27,4,Subscription,No,888
22/01/2023,28/12/2022,Hardcore,Ultra Bundle,00h 24m,39,0,One-time,No,505
21/01/2023,31/12/2022,Whales,Character Skin,02h 20m,27,10,One-time,No,145
28/01/2023,19/01/2023,Hardcore,Coin Pack - 10000,00h 47m,27,11,One-time,Yes,362
10/02/2023,22/01/2023,Whales,Power-Up Bundle,02h 38m,6,13,One-time,No,192
25/01/2023,19/01/2023,Hardcore,Limited-Time Offer Pack,02h 55m,22,9,One-time,No,51
07/02/2023,31/01/2023,Casual,Coin Pack - 10000,01h 14m,33,1,One-time,No,450
03/02/2023,16/01/2023,Hardcore,Power-Up Bundle,01h 57m,3,8,One-time,Yes,165
22/01/2023,14/01/2023,Hardcore,Power-Up Bundle,02h 59m,10,2,One-time,No,199
13/02/2023,05/02/2023,Casual,Coin Pack - 5000,02h 40m,7,3,One-time,No,211
02/02/2023,17/01/2023,Hardcore,Limited-Time Offer Pack,00h 55m,30,4,One-time,No,96
14/02/2023,25/01/2023,Casual,Power-Up Bundle,02h 23m,31,2,One-time,No,149
07/02/2023,19/01/2023,Hardcore,Power-Up Bundle,02h 37m,4,14,One-time,No,195
15/01/2023,23/12/2022,Casual,Coin Pack - 5000,01h 44m,28,0,One-time,No,243
04/02/2023,02/02/2023,Casual,Power-Up Bundle,01h 15m,28,1,One-time,No,208
29/01/2023,25/01/2023,Casual,Limited-Time Offer Pack,00h 27m,11,0,One-time,No,78
30/01/2023,15/01/2023,Whales,Premium Weapon,01h 04m,19,3,One-time,No,201
13/02/2023,05/02/2023,Whales,Season Pass,00h 18m,25,13,Subscription,Yes,505
28/01/2023,30/12/2022,Casual,Character Skin,01h 59m,24,1,One-time,No,172
19/01/2023,07/01/2023,Hardcore,Coin Pack - 1000,01h 55m,34,4,One-time,No,84
18/01/2023,05/01/2023,Casual,Coin Pack - 5000,01h 56m,1,5,One-time,Yes,246
10/02/2023,09/02/2023,Casual,Ultra Bundle,00h 29m,34,2,One-time,No,589
29/01/2023,13/01/2023,Whales,Coin Pack - 5000,01h 11m,22,7,One-time,Yes,240
14/02/2023,13/02/2023,Whales,Premium Weapon,01h 25m,2,2,One-time,Yes,277
10/02/2023,26/01/2023,Casual,Ultra Bundle,00h 23m,28,3,One-time,No,589
13/02/2023,23/01/2023,Hardcore,Limited-Time Offer Pack,01h 16m,1,12,One-time,Yes,87
18/01/2023,23/12/2022,Casual,Character Skin,00h 54m,39,0,One-time,No,129
25/01/2023,20/01/2023,Casual,Season Pass,00h 53m,2,3,Subscription,No,466
24/01/2023,31/12/2022,Hardcore,Season Pass,02h 57m,40,6,Subscription,No,598
26/01/2023,09/01/2023,Hardcore,Season Pass,00h 25m,21,2,Subscription,No,568
09/02/2023,16/01/2023,Casual,Season Pass,01h 46m,16,2,Subscription,No,553
29/01/2023,09/01/2023,Casual,Premium Weapon,00h 53m,7,2,One-time,No,234
29/01/2023,02/01/2023,Casual,Limited-Time Offer Pack,01h 18m,26,2,One-time,Yes,73
13/02/2023,24/01/2023,Whales,Power-Up Bundle,02h 43m,12,6,One-time,No,234
02/02/2023,15/01/2023,Whales,Coin Pack - 1000,01h 26m,17,8,One-time,No,80
19/01/2023,22/12/2022,Hardcore,Coin Pack - 1000,02h 23m,29,5,One-time,No,99
02/02/2023,26/01/2023,Casual,Ultra Bundle,00h 10m,31,4,One-time,No,680
28/01/2023,22/01/2023,Casual,Coin Pack - 1000,01h 28m,1,5,One-time,No,98
29/01/2023,18/01/2023,Casual,Coin Pack - 5000,01h 28m,13,4,One-time,No,211
15/01/2023,19/12/2022,Hardcore,Ultra Bundle,00h 54m,19,14,One-time,Yes,690
10/02/2023,08/02/2023,Casual,Lifetime Membership,01h 21m,24,0,Subscription,Yes,925
30/01/2023,28/01/2023,Casual,Season Pass,01h 06m,1,5,Subscription,No,588
20/01/2023,21/12/2022,Casual,Ultra Bundle,02h 24m,8,2,One-time,No,600
18/01/2023,21/12/2022,Casual,Season Pass,00h 31m,4,2,Subscription,No,579
